,filename,duration,annotation_exist
0,94-45a117-D,171.6215873015873,False
1,94-24b069-L1,160.6225850340136,True
2,94-43a106-H,172.1962811791383,False
3,94-45a117-D(2),174.38185941043085,False
4,94-21a059-DIA(L),176.33233560090702,True
5,94-43a106-L,170.8669387755102,True
6,94-45b121-G,171.5461224489796,True
7,94-45b121-L1,183.70176870748298,True
8,94-48b135-L,182.57850340136054,False
9,94-42a102-L,178.83428571428573,True
10,94-48b137-L,182.09668934240364,False
11,94-46a123-D,192.34539682539682,True
12,94-45b122-G,182.8736961451247,False
13,94-33a092-DIA(E),183.59727891156462,False
14,94-27b089-L1,185.39496598639457,True
15,94-48b137-C(H),176.7328798185941,False
16,94-18a045-L1,165.88625850340136,True
17,94-47a130-L1,193.2393650793651,True
18,94-45b122-D,172.03664399092972,False
19,94-27b089-C(H),190.83319727891157,False
20,94-25a075-DIA(D),185.17913832199545,True
21,94-21a059-DIA(E),173.33115646258503,True
22,94-15a022-E1,193.89532879818594,True
23,94-25a075-DIA(E),189.30648526077098,True
24,94-06b008-L1,188.9726984126984,True
25,94-34b097-DIA(L),171.1978231292517,True
26,94-46a123-D(2),189.0249433106576,False
27,94-33a092-DIA(L),192.2118820861678,False
28,94-46a124-H,165.67727891156463,False
29,94-48b135-C(H),184.4709297052154,False
30,94-47a130-G,179.86176870748298,True
31,94-42a102-L(2),172.97124716553287,True
32,94-46a124-L,184.85696145124717,False
33,94-18a045-D,197.06485260770975,True
34,95-06a033-L1,188.74049886621316,True
35,95-13a053-DIA(E),179.1825850340136,False
36,95-02a009-DIA(E),186.3285260770975,True
37,95-02b011-L1,189.1178231292517,False
38,95-04b023-DIA(L),187.61142857142858,True
39,95-13a052-E1,180.29133786848072,False
40,95-13a052-DIA(L),191.38757369614513,False
41,95-16b068-RealBoom,120.15163265306123,True
42,95-12a044-POL(AS),197.53795918367348,False
43,95-02a009-E1,190.80126984126983,True
44,95-05a025-E1,184.9469387755102,False
45,95-01a002-DIA(L),182.18666666666667,False
46,95-14b058-C(A),180.2419954648526,False
47,95-01a001-DIA(E),187.5998185941043,True
48,95-16b068-C(A),189.30068027210885,False
49,95-04b024-L1,189.14684807256236,False
50,95-07b041-E1,189.69251700680272,True
51,95-12a043-POL(E),180.34068027210884,True
52,95-14a056-L,185.88734693877552,True
53,95-13a053-L,183.6175963718821,True
54,95-02b011-DIA(E),184.87437641723355,False
55,95-07a039-DIA(L),187.33859410430838,True
56,95-01a001-E1,193.14068027210885,False
57,95-04b023-L1,185.69578231292516,True
58,95-06a033-E1,189.00462585034015,True
59,95-01a002-L1,202.05133786848072,True
60,95-04b024-DIA(E),196.26666666666668,False
61,95-14a057-L,181.17950113378686,True
62,95-14b058-L,190.34267573696144,False
63,95-12a043-POL(AS),191.57333333333332,True
64,95-15b064-C(A),183.28671201814058,False
65,95-15b064-L,184.57832199546485,False
66,95-05a025-DIA(L),181.52489795918368,False
67,95-12a044-POL(E),187.5243537414966,True
68,95-16b068-L,181.18820861678006,False
69,95-13a052-RealBranch,198.84408163265306,True
70,95-07b041-E1(2),189.40226757369615,False
71,95-14a057-C(A),190.14530612244897,False
72,95-07a039-L1,189.6518820861678,False
73,95-14a056-C(A),191.20761904761906,False
74,01-12a086-B-CAM(E)-ATY(L),246.87455782312927,True
75,01-12a085-B-CAM(E)-ATY(L),274.98231292517005,False
76,01-12b088-B-CAM(E)-ATY(L),279.95138321995466,False
77,01-13b096-B-CAM(L)-ATY(L),284.8478911564626,True
78,01-13b097-B-CAM(L)-ATY(L),283.8146031746032,True
79,00-34a228-dia(l),188.13968253968255,True
80,00-02b015-boom-cam(l),180.7934693877551,False
81,00-31b211-dia(e),180.43356009070294,False
82,00-19b126-dia(e),193.16390022675736,False
83,00-19a123-dia(e),193.2103401360544,False
84,00-09a062-pol(al),193.7879365079365,True
85,00-07b054-cam(l),193.72698412698412,True
86,00-06b045-boom,186.34303854875284,False
87,00-28a185-boom-EAG,183.28380952380954,True
88,00-33b225-dia(l),189.22521541950113,True
89,00-19b126-nic(e),198.97179138321997,False
90,00-32b217-boom-dia(l),185.78575963718822,True
91,00-01a003-boom-cam(l),193.30321995464854,False
92,00-19a123-nic(e),182.6597732426304,False
93,00-24a156-nic(e),180.48580498866212,True
94,00-10a068-dia(e),186.31401360544217,False
95,00-27a175-boom-LEO,193.40190476190477,True
96,00-06a042-cam(l),189.57931972789115,False
97,00-21a135-boom-3dia(l),186.90321995464853,False
98,00-11a074-nic(e),192.42956916099774,False
99,00-32b216-boom-dia(l),189.88117913832198,False
100,00-09b067-nic(e),196.66721088435375,True
101,00-05a033-boom-cam(h),186.6419954648526,False
102,00-03a018-boom-cam(e),174.95945578231292,True
103,00-05a032-cam(e),243.7340589569161,False
104,00-08a056-cam(l),197.27092970521542,False
105,00-10a068-nic(e),194.9082993197279,True
106,00-05a034-boom-cam(h),172.12662131519275,False
107,00-28b188-boom-dia(e),189.38485260770975,True
108,00-17a109-cam(l),180.83700680272108,False
109,00-11a074-dia(e),192.28154195011336,True
110,00-09a062-dia(e),197.79628117913833,True
111,00-09b067-dia(e),182.14603174603175,True
112,00-18a115-dia(e),188.25578231292516,True
113,00-27a176-boom-LEO,197.14902494331065,False
114,00-06b046-boom,193.0855328798186,False
115,00-05b039-cam(h),194.78929705215418,True
116,00-13a087-nic(e),186.28208616780046,False
117,00-22a143-nic(e),191.0857142857143,False
118,00-31a204-boom,190.35718820861678,True
119,00-12a082-nic(e),194.80380952380952,True
120,00-30a199-boom-LEO,188.0758276643991,True
121,00-09a064-dia(e),193.00136054421768,True
122,00-18a115-nic(e),191.95646258503402,False
123,00-02a011-boom-cam(l),184.4796371882086,True
124,00-30b202-boom,183.58857142857144,False
125,00-26b172-boom-LEO,197.16063492063492,True
126,00-35a236-cam(h),178.90975056689342,False
127,00-13a087-dia(e),193.9069387755102,False
128,00-27b179-boom-LEO,192.57179138321996,True
129,00-17a109-nic(e),184.89179138321995,False
130,00-22a143-dia(e),192.5079365079365,False
131,00-27b182-boom-EAG,186.37496598639456,True
132,00-06a041-cam(l),200.52172335600906,False
133,00-12a082-dia(e),192.16544217687076,True
134,00-09a064-pol(e),193.08843537414967,True
135,00-33a223-dia(l),188.55183673469386,False
136,00-05b036-cam(h),197.34349206349205,True
137,00-24a155-nic(e),196.5424036281179,False
138,00-35a239-boom-dia(l),192.9142857142857,False
139,00-33a220-boom-dia(l),192.73433106575965,True
140,00-04a027-cam(e),196.1273469387755,True
141,00-24a156-cam(l),174.59374149659865,True
142,00-04b030-boom-cam(e),183.9891156462585,False
143,00-24a155-dia(e),195.442358276644,False
144,00-28a186-boom-EAG,188.21514739229025,False
145,97-80a482-DIA(L),183.04580498866213,True
146,97-35b209-NIC(E),191.2540589569161,True
147,97-06a026-L3,180.31746031746033,False
148,97-38a224-POL(L),189.8289342403628,True
149,97-50a301-NIC(E),188.4821768707483,False
150,97-08a040-H,196.12154195011337,False
151,97-10a054-D,193.68344671201814,False
152,97-38a225-DIA(E),184.40997732426302,True
153,97-30b178-E1,189.31229024943312,False
154,97-06a027-D,188.85659863945577,False
155,97-51b309-DIA(E),185.65224489795918,True
156,97-52a317-NIC(E),193.41931972789115,False
157,97-09b048-D(2),175.0813605442177,False
158,97-68b416-C(A),184.87147392290248,False
159,97-72a441-DIA(E),182.29696145124717,False
160,97-40a239-NIC(E),200.5275283446712,False
161,97-13b075-L3,187.68689342403627,False
162,97-80a483-L3,186.18340136054422,True
163,97-24b143-CAM(E),182.9558276643991,False
164,97-40b242-NIC(E),191.6110657596372,True
165,97-19a108-E1,176.68934240362813,False
166,97-04a016-L3,194.18267573696144,False
167,97-08b041-D,184.59573696145125,False
168,97-35b209-DIA(E),182.05895691609976,True
169,97-41b246-L3,186.1688888888889,False
170,97-43b259-C(A),194.56,False
171,97-69b422-C(A),192.40925170068027,True
172,97-50a301-DIA(E),188.65052154195013,True
173,97-57b350-DIA(L),188.67083900226757,False
174,97-71a433-E2,186.56072562358275,True
175,97-06a027-E2,189.60544217687075,True
176,97-50a302-C(A),189.83183673469387,False
177,97-04a014-L3,184.08780045351475,True
178,97-33b197-DIA(E),194.63256235827666,True
179,97-61b372-DIA(L),185.4548752834467,True
180,97-80b485-E1,182.92680272108842,True
181,97-30b178-CAM(L),183.94557823129253,True
182,97-13a070-L3,185.48680272108842,False
183,97-51b309-NIC(E),203.65931972789116,True
184,97-63a382-DIA(L),175.72571428571428,False
185,97-52a317-DIA(E),186.6332879818594,False
186,97-33b198-CAM(E),190.31074829931973,False
187,97-65a396-DIA(L),184.24743764172337,True
188,97-63a382-GF(H),195.2711111111111,False
189,97-02a009-GF,189.8985941043084,True
190,97-40a239-DIA(E),193.01006802721088,False
191,97-65b397-NIC(E),197.74984126984128,False
192,97-72a441-NIC(E),181.85578231292516,True
193,97-24b144-E!D,193.02458049886621,False
194,97-64a389-C(A),186.8712925170068,False
195,97-64a393-L3,183.3447619047619,False
196,97-71a433-E1,191.1524716553288,False
197,97-11b061-DIA(E),181.21142857142857,False
198,97-70b429-DIA(E),126.3136507936508,False
199,97-69a419-L3,190.4239455782313,True
200,97-27b161-H,183.59147392290248,False
201,97-60a363-DIA(L),191.1873015873016,True
202,97-76a461-C(A),190.94349206349207,False
203,97-62b379-NIC(E),187.68979591836734,False
204,97-13a070-GF,185.4374603174603,True
205,97-13b074-D,184.9208163265306,False
206,97-01a004-GF,186.47074829931972,True
207,97-43b259-L,182.62494331065759,False
208,97-60a364-L,184.76408163265307,False
209,97-18a102-L2,194.51065759637189,True
210,97-68b416-L,193.08263038548753,True
211,97-12a065-DIA(T),171.43873015873015,True
212,97-68a411-E2,197.63374149659865,False
213,97-05b023-D,189.9914739229025,False
214,97-18b105-L2,182.63074829931972,False
215,97-44a264-DIA(E),188.57795918367347,False
216,97-35a206-DIA(E),192.1277097505669,True
217,97-74b453-DIA(L),186.11374149659864,True
218,97-65a395-NIC(E),186.6419954648526,True
219,97-75a456-L3,188.0497052154195,True
220,97-53b326-DIA(L),191.02185941043084,False
221,97-40b240-NIC(E),187.24571428571429,False
222,97-60a364-C(A),180.04462585034014,False
223,97-06a026-D,187.78848072562357,True
224,97-64a393-GF,188.17160997732427,False
225,97-49a294-NIC(E),190.3136507936508,True
226,97-46a276-D,174.32090702947846,False
227,97-45a270-DIA(E),177.48172335600907,False
228,97-68b417-L3,187.39954648526077,True
229,97-12b068-DIA(T),179.71954648526076,False
230,97-55a336-NIC(E),198.00526077097507,False
231,97-73b446-DIA(E),182.19537414965987,False
232,97-04a014-D,204.86965986394557,True
233,97-74b453-E1,179.93142857142857,True
234,97-61a369-D,184.14585034013606,False
235,97-32a189-DIA(E),186.44172335600908,False
236,97-75a457-E1,180.56417233560092,False
237,97-43a257-POL(L),185.7799546485261,True
238,97-78b474-E2,182.9732426303855,False
239,97-46b281-DIA(L),194.2871655328798,True
240,97-77a467-E2,184.23873015873016,False
241,97-44a264-NIC(E),187.90167800453514,False
242,97-53b326-D,188.36027210884353,True
243,97-36b214-POL(L),202.89596371882087,False
244,97-65a395-DIA(E),176.8257596371882,False
245,97-40b240-DIA(E),190.17142857142858,True
246,97-75a456-DIA(L),188.24707482993196,True
247,97-18b104-E1,185.7886621315193,False
248,97-33b198-DIA(E),183.54213151927436,False
249,97-73b447-DIA(L),188.33705215419502,False
250,97-58a353-NIC(E),184.34321995464853,False
251,97-15b085-L3,189.95374149659864,True
252,97-34b203-E1,188.39510204081634,True
253,97-63a383-GF(H),187.6172335600907,False
254,97-48b291-D,184.39256235827665,True
255,97-24a140-CAM(L),186.7609977324263,True
256,97-43a257-DIA(L),185.6087074829932,False
257,97-73b446-L2,189.41097505668935,True
258,97-24a140-L3,183.39700680272108,True
